clip,source_hash,vehicle_id,terminal_event_id,event_ts,camera,status,original_labelled_event_description,labelled_event,labelled_checked,labelled_agreed,cam_o,cam_s,vs,fatigue_summary,smoking_summary,eatdrink_summary,review_seatbelt,review_phone,review_drinking,t_total_s,t_llm_s,driver_vis,seatbelt,phone,distraction,fatigue,smoking,eatdrink,drinking,alcohol,why,seatbelt_support_n,phone_support_n,distraction_support_n,fatigue_support_n,smoking_support_n,det_codes,rev_codes,det_event_descriptions,rev_event_descriptions,primary_vlm_event,seatbelt_off_flag,phone_flag,distraction_flag,fatigue_flag,smoke_flag,cam_covered_flag,face_obstructed_review_flag,seatbelt_uncertain_flag,phone_uncertain_flag,distraction_uncertain_flag,fatigue_uncertain_flag,smoking_uncertain_flag,raw_event_description,raw_event_ts,original_event_description,event_ts_final,vlm_change_type,event_changed_flag,det_rankable_event_descriptions,rev_rankable_event_descriptions,extra_rankable_vlm_events,n_extra_rankable_vlm_events,matched_raw_df_flag
196,b0348f9b5fac7cf1,467597649,,2026-01-07 06:58:00+00:00,2,OK,,,n,na,2,0,1,u,u,n,high,medium,low,69.22,41.81,1,n,u,u,u,u,n,u,u,"Driver is clearly visible, but no seatbelt strap is visible across the chest. No phone or clear distraction is observed.",12,0,0,0,0,[5],[],['SEATBELT_D_OFF'],[],SEATBELT_D_OFF,1,0,0,0,0,0,0,0,1,1,1,1,,,,2026-01-07 06:58:00+00:00,new_context_added,1,['SEATBELT_D_OFF'],[],['SEATBELT_D_OFF'],1,0
106,61896a1dd3314d4f,518312065,,2026-01-05 16:50:24+00:00,2,OK,,,n,na,2,0,1,u,u,n,high,low,low,81.85,53.05,1,n,n,u,u,u,n,u,u,"Driver is clearly visible, no seatbelt strap visible, no phone or clear distraction, no fatigue signs, no smoking or dri",12,0,0,0,0,[5],[],['SEATBELT_D_OFF'],[],SEATBELT_D_OFF,1,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-05 16:50:24+00:00,new_context_added,1,['SEATBELT_D_OFF'],[],['SEATBELT_D_OFF'],1,0
395,5e94ac5bcc4f2388,333585410,,2026-01-07 05:17:27+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,66.92,39.14,1,y,n,u,u,u,n,u,u,Driver is clearly visible and wearing a seatbelt.,12,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-07 05:17:27+00:00,no_vlm_signal,0,[],[],[],0,0
110,77b819d30cfd789c,513234561,,2026-01-05 15:02:39+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,60.39,32.38,1,y,n,u,u,u,n,u,u,Driver is clearly visible and wearing a seatbelt.,12,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-05 15:02:39+00:00,no_vlm_signal,0,[],[],[],0,0
447,94b4695d236356e8,454535057,,2026-01-05 14:26:38+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,68.16,38.67,1,y,n,u,u,u,n,u,u,Driver is clearly visible and wearing a seatbelt.,12,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-05 14:26:38+00:00,no_vlm_signal,0,[],[],[],0,0
448,ca204084a3c6d17a,509636074,,2026-01-07 08:35:27+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,medium,low,66.74,38.8,1,y,u,u,u,u,n,u,u,Driver is clearly visible and wearing seatbelt.,12,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,1,1,1,1,,,,2026-01-07 08:35:27+00:00,no_vlm_signal,0,[],[],[],0,0
289,e760203efa0006e3,422017575,,2026-01-05 11:07:19+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,66.92,39.69,1,y,n,u,u,u,n,u,u,Driver is clearly visible and wearing a seatbelt.,12,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-05 11:07:19+00:00,no_vlm_signal,0,[],[],[],0,0
240,a9b93f0d0837113c,524598614,,2026-01-05 04:44:55+00:00,2,OK,,,n,na,2,0,1,u,u,y,low,low,medium,81.48,52.75,1,y,n,u,u,u,y,y,u,"Driver is clearly visible, seatbelt strap is visible, drinking is clear, alcohol is not clearly visible.",12,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-05 04:44:55+00:00,no_vlm_signal,0,[],[],[],0,0
174,a89d5e0bcbe2e06e,511472023,,2026-01-07 06:40:39+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,high,low,79.33,45.64,1,y,y,y,u,u,n,n,n,"Driver is clearly visible and holding a phone, indicating distraction. No clear seatbelt strap, phone, fatigue, smoking,",0,12,12,0,0,"[10, 11]",[],"['v_phone', 'v_distraction']",[],v_phone,0,1,1,0,0,0,0,0,0,0,1,1,,,,2026-01-07 06:40:39+00:00,new_context_added,1,"['v_phone', 'v_distraction']",[],"['v_phone', 'v_distraction']",2,0
401,c4c356fd115d2a90,523822117,,2026-01-05 17:33:54+00:00,2,OK,,,n,na,2,0,1,u,u,n,high,low,low,80.12,51.3,1,n,n,u,u,u,n,u,u,"<driver is clearly visible, but no seatbelt strap is visible>",12,0,0,0,0,[5],[],['SEATBELT_D_OFF'],[],SEATBELT_D_OFF,1,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-05 17:33:54+00:00,new_context_added,1,['SEATBELT_D_OFF'],[],['SEATBELT_D_OFF'],1,0
286,98811ce983ff733d,518311941,,2026-01-06 10:12:34+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,high,low,74.07,42.97,1,y,y,u,u,u,n,u,u,"Driver is clearly visible and wearing seatbelt, but phone and other details are unclear.",6,0,0,0,0,[10],[],['v_phone'],[],v_phone,0,1,0,0,0,0,0,0,0,1,1,1,,,,2026-01-06 10:12:34+00:00,new_context_added,1,['v_phone'],[],['v_phone'],1,0
287,8821e30d81dfd431,509637652,,2026-01-06 13:54:54+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,high,low,48.77,43.02,1,y,y,y,u,u,n,n,n,Driver is clearly visible and wearing seatbelt. Phone is visible in hand. Driver appears distracted. Fatigue is uncertai,12,6,6,0,0,"[10, 11]",[],"['v_phone', 'v_distraction']",[],v_phone,0,1,1,0,0,0,0,0,0,0,1,1,,,,2026-01-06 13:54:54+00:00,new_context_added,1,"['v_phone', 'v_distraction']",[],"['v_phone', 'v_distraction']",2,0
398,c44b9b1077d7f632,509637286,,2026-01-07 10:35:37+00:00,2,OK,,,n,na,2,0,1,u,u,n,high,low,low,68.74,40.2,1,n,n,u,u,u,n,u,u,"Driver is clearly visible, no seatbelt strap visible, no phone or clear distraction, no fatigue signs, no smoking or eat",1,0,0,0,0,[5],[],['SEATBELT_D_OFF'],[],SEATBELT_D_OFF,1,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-07 10:35:37+00:00,new_context_added,1,['SEATBELT_D_OFF'],[],['SEATBELT_D_OFF'],1,0
165,d282da1ba75cdd20,417516308,,2026-01-07 11:11:31+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,72.47,40.31,1,y,n,u,u,u,n,u,u,Driver is clearly visible and wearing a seatbelt.,12,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-07 11:11:31+00:00,no_vlm_signal,0,[],[],[],0,0
274,63d5d4c01d8820fe,443668611,,2026-01-05 11:25:41+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,66.23,39.65,1,y,n,u,u,u,n,u,u,Driver is clearly visible and wearing a seatbelt.,12,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-05 11:25:41+00:00,no_vlm_signal,0,[],[],[],0,0
93,91a20b65ebf7bd5f,365670886,,2026-01-07 07:56:46+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,high,low,45.53,42.13,1,y,y,u,u,u,n,u,u,"Driver is clearly visible and wearing seatbelt, holding phone, and appears to be distracted.",12,3,0,0,0,[10],[],['v_phone'],[],v_phone,0,1,0,0,0,0,0,0,0,1,1,1,,,,2026-01-07 07:56:46+00:00,new_context_added,1,['v_phone'],[],['v_phone'],1,0
321,d489cbb4d39d0fee,453948326,,2026-01-06 12:09:27+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,high,low,54.47,48.83,1,y,y,u,u,u,n,u,u,"Driver is clearly visible, wearing seatbelt, holding phone, and appears attentive.",12,12,0,0,0,[10],[],['v_phone'],[],v_phone,0,1,0,0,0,0,0,0,0,1,1,1,,,,2026-01-06 12:09:27+00:00,new_context_added,1,['v_phone'],[],['v_phone'],1,0
280,283c99b0d25b59c7,350179842,,2026-01-05 03:44:32+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,67.99,38.55,1,y,n,u,u,u,n,u,u,"Driver is clearly visible and wearing a seatbelt. No clear phone, distraction, fatigue, smoking, eating/drinking, or alc",2,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-05 03:44:32+00:00,no_vlm_signal,0,[],[],[],0,0
375,fc55dcac02290d25,518867282,,2026-01-05 11:28:52+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,66.73,38.68,1,y,n,u,u,u,n,u,u,Driver is clearly visible and wearing a seatbelt.,12,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-05 11:28:52+00:00,no_vlm_signal,0,[],[],[],0,0
425,f932966a1d022a7f,509636707,,2026-01-06 04:51:49+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,58.17,31.12,1,y,n,u,u,u,n,u,u,Driver is clearly visible and wearing a seatbelt.,12,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-06 04:51:49+00:00,no_vlm_signal,0,[],[],[],0,0
320,b7be22b43528325e,304246535,,2026-01-06 11:37:34+00:00,2,OK,,,n,na,2,0,1,u,u,y,low,low,medium,68.89,38.05,1,y,n,u,u,u,y,y,u,"Driver is clearly visible, wearing seatbelt, drinking water, but no clear phone or distraction.",2,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-06 11:37:34+00:00,no_vlm_signal,0,[],[],[],0,0
276,20b03baaa4a2e02a,443733464,,2026-01-06 13:05:31+00:00,2,OK,,,n,na,2,0,1,u,u,n,high,low,low,70.9,44.33,1,n,n,u,u,u,n,u,u,"Driver is clearly visible, no seatbelt strap visible, no phone in hand or ear, no clear distraction, no fatigue signs, n",12,0,0,0,0,[5],[],['SEATBELT_D_OFF'],[],SEATBELT_D_OFF,1,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-06 13:05:31+00:00,new_context_added,1,['SEATBELT_D_OFF'],[],['SEATBELT_D_OFF'],1,0
131,1935e86cefa6fa3e,350179842,,2026-01-05 14:06:28+00:00,2,OK,,,n,na,2,0,1,u,u,n,high,low,low,79.01,52.64,1,n,n,u,u,u,n,u,u,"Driver is clearly visible, no seatbelt strap visible, no phone or clear distraction, no fatigue signs, no smoking or dri",12,0,0,0,0,[5],[],['SEATBELT_D_OFF'],[],SEATBELT_D_OFF,1,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-05 14:06:28+00:00,new_context_added,1,['SEATBELT_D_OFF'],[],['SEATBELT_D_OFF'],1,0
250,abb8943b9be94f21,511879208,,2026-01-05 11:26:44+00:00,2,OK,,,n,na,2,0,1,u,u,n,high,high,low,48.12,44.4,1,n,y,y,u,u,n,n,n,"Driver is clearly visible and holding a phone, indicating distraction.",12,12,12,0,0,"[5, 10, 11]",[],"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",[],SEATBELT_D_OFF,1,1,1,0,0,0,0,0,0,0,1,1,,,,2026-01-05 11:26:44+00:00,new_context_added,1,"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",[],"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",3,0
97,0db9007eb260096d,322785930,,2026-01-05 05:41:21+00:00,2,OK,,,n,na,2,0,1,u,u,n,high,high,low,51.96,42.32,1,n,y,y,u,u,n,n,n,"Driver is clearly visible, holding a phone, and appears distracted. Seatbelt is not visible. No smoking or eating/drinki",2,7,7,0,0,"[5, 10, 11]",[],"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",[],SEATBELT_D_OFF,1,1,1,0,0,0,0,0,0,0,1,1,,,,2026-01-05 05:41:21+00:00,new_context_added,1,"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",[],"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",3,0
360,40230c9d549536ea,509637553,,2026-01-05 14:56:45+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,high,low,46.83,41.01,1,y,y,u,u,u,n,u,u,"Driver is clearly visible, wearing seatbelt, holding phone, and appears attentive.",12,3,0,0,0,[10],[],['v_phone'],[],v_phone,0,1,0,0,0,0,0,0,0,1,1,1,,,,2026-01-05 14:56:45+00:00,new_context_added,1,['v_phone'],[],['v_phone'],1,0
163,f6416834430fc169,509636074,,2026-01-07 07:02:59+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,71.94,41.64,1,y,n,u,u,u,n,u,u,"Driver is clearly visible and wearing a seatbelt. No phone, distraction, fatigue, smoking, eating, drinking, or alcohol",12,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-07 07:02:59+00:00,no_vlm_signal,0,[],[],[],0,0
252,1bcf88d6a186902f,511879208,,2026-01-05 13:27:21+00:00,2,OK,,,n,na,2,0,1,u,u,n,high,high,low,49.8,43.85,1,n,y,y,u,u,n,n,n,"Driver is clearly visible and holding a phone, indicating distraction.",12,11,11,0,0,"[5, 10, 11]",[],"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",[],SEATBELT_D_OFF,1,1,1,0,0,0,0,0,0,0,1,1,,,,2026-01-05 13:27:21+00:00,new_context_added,1,"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",[],"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",3,0
449,9b0925e0faf2d8f9,333584194,,2026-01-07 10:17:02+00:00,2,OK,,,n,na,2,0,1,u,u,n,high,high,low,47.59,42.19,1,n,y,y,u,u,n,u,u,"Driver is clearly visible and holding a phone, indicating distraction.",11,11,11,0,0,"[5, 10, 11]",[],"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",[],SEATBELT_D_OFF,1,1,1,0,0,0,0,0,0,0,1,1,,,,2026-01-07 10:17:02+00:00,new_context_added,1,"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",[],"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",3,0
115,6a1d1ba14af6db76,333584194,,2026-01-06 10:24:51+00:00,2,OK,,,n,na,2,0,1,u,u,n,high,high,low,46.85,41.45,1,n,y,y,u,u,n,u,u,"Driver is clearly visible and holding a phone, indicating distraction.",11,2,2,0,0,"[5, 10, 11]",[],"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",[],SEATBELT_D_OFF,1,1,1,0,0,0,0,0,0,0,1,1,,,,2026-01-06 10:24:51+00:00,new_context_added,1,"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",[],"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",3,0
288,d866a981b0834e5a,518312065,,2026-01-06 07:17:02+00:00,2,OK,,,n,na,2,0,1,u,u,y,low,medium,low,71.46,42.98,1,y,u,u,u,u,y,u,u,Driver is eating and appears to be distracted.,12,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,1,1,1,1,,,,2026-01-06 07:17:02+00:00,no_vlm_signal,0,[],[],[],0,0
246,73bc6d780f545901,458748209,,2026-01-07 06:24:02+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,84.12,51.22,1,y,n,u,u,u,n,u,u,"Driver's torso is visible, but no clear seatbelt strap, phone, or smoking device is seen.",0,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-07 06:24:02+00:00,no_vlm_signal,0,[],[],[],0,0
133,2e66c3166ef2ae9d,464361907,,2026-01-05 08:24:35+00:00,2,OK,,,n,na,2,0,1,u,u,n,high,low,low,80.96,51.13,1,n,n,u,u,u,n,u,u,<very short>,12,0,0,0,0,[5],[],['SEATBELT_D_OFF'],[],SEATBELT_D_OFF,1,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-05 08:24:35+00:00,new_context_added,1,['SEATBELT_D_OFF'],[],['SEATBELT_D_OFF'],1,0
5,bcc41900a34f8251,458891357,,2026-01-06 13:50:09+00:00,2,OK,,,n,na,2,0,1,u,u,n,high,low,low,75.04,48.18,1,n,n,u,u,u,n,u,u,"Driver is clearly visible, but no seatbelt strap is visible across the chest. No phone or smoking activity is clearly vi",10,0,0,0,0,[5],[],['SEATBELT_D_OFF'],[],SEATBELT_D_OFF,1,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-06 13:50:09+00:00,new_context_added,1,['SEATBELT_D_OFF'],[],['SEATBELT_D_OFF'],1,0
8,98a27da2d4f4a502,511893849,,2026-01-06 04:29:43+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,68.23,40.18,1,y,n,u,u,u,n,u,u,Driver is clearly visible and wearing a seatbelt.,11,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-06 04:29:43+00:00,no_vlm_signal,0,[],[],[],0,0
291,28f6d7e7eb6b4be8,509637899,,2026-01-06 16:01:50+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,64.98,37.37,1,y,n,u,u,u,n,u,u,"Driver is clearly visible, wearing seatbelt, and appears attentive.",2,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-06 16:01:50+00:00,no_vlm_signal,0,[],[],[],0,0
10,59857a1f629ab1a9,509637688,,2026-01-07 10:03:20+00:00,2,OK,,,n,na,2,0,1,u,u,n,high,low,low,79.39,53.39,1,n,n,u,u,u,n,u,u,"Driver is clearly visible, no seatbelt strap visible, no phone or clear distraction, no fatigue signs, no smoking or dri",12,0,0,0,0,[5],[],['SEATBELT_D_OFF'],[],SEATBELT_D_OFF,1,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-07 10:03:20+00:00,new_context_added,1,['SEATBELT_D_OFF'],[],['SEATBELT_D_OFF'],1,0
15,42ebaff0c4047cc8,509636074,,2026-01-06 05:36:14+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,70.11,39.2,1,y,n,u,u,u,n,u,u,Driver is clearly visible and wearing a seatbelt.,6,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-06 05:36:14+00:00,no_vlm_signal,0,[],[],[],0,0
234,ee60dddffc57088b,458891357,,2026-01-06 05:11:55+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,70.39,39.62,1,y,n,u,u,u,n,u,u,Driver is clearly visible and wearing a seatbelt.,12,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-06 05:11:55+00:00,no_vlm_signal,0,[],[],[],0,0
432,e701e847337a8c3c,511642605,,2026-01-07 07:09:56+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,66.92,38.67,1,y,n,u,u,u,n,u,u,Driver is clearly visible and wearing a seatbelt.,12,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-07 07:09:56+00:00,no_vlm_signal,0,[],[],[],0,0
351,6adf7a30960951dc,507264889,,2026-01-06 04:56:50+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,68.03,39.18,1,y,n,u,u,u,n,u,u,Driver is clearly visible and wearing a seatbelt.,12,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-06 04:56:50+00:00,no_vlm_signal,0,[],[],[],0,0
35,5599761f231603e0,511465936,,2026-01-06 15:47:15+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,71.05,40.57,1,y,n,u,u,u,n,u,u,Driver is clearly visible and wearing a seatbelt.,12,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-06 15:47:15+00:00,no_vlm_signal,0,[],[],[],0,0
325,5ac00e4ef1afc66c,456979367,,2026-01-06 05:05:59+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,59.18,31.62,1,y,n,u,u,u,n,u,u,Driver is clearly visible and wearing a seatbelt.,12,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-06 05:05:59+00:00,no_vlm_signal,0,[],[],[],0,0
327,75f91fea6402c78b,454535057,,2026-01-07 03:48:34+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,high,low,47.68,42.49,1,y,y,y,u,u,n,u,u,"Driver is clearly visible, wearing seatbelt, holding phone, and appears distracted.",11,8,8,0,0,"[10, 11]",[],"['v_phone', 'v_distraction']",[],v_phone,0,1,1,0,0,0,0,0,0,0,1,1,,,,2026-01-07 03:48:34+00:00,new_context_added,1,"['v_phone', 'v_distraction']",[],"['v_phone', 'v_distraction']",2,0
136,a9598900ab9f866a,443385724,,2026-01-05 05:25:01+00:00,2,OK,,,n,na,2,0,1,u,u,n,high,low,low,69.9,40.42,1,n,n,u,u,u,n,u,u,"Driver is clearly visible, but no seatbelt strap is visible across the chest. No phone or clear distraction is observed.",5,0,0,0,0,[5],[],['SEATBELT_D_OFF'],[],SEATBELT_D_OFF,1,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-05 05:25:01+00:00,new_context_added,1,['SEATBELT_D_OFF'],[],['SEATBELT_D_OFF'],1,0
